dist,rng,nit,time_s
normal_distribution<double>,ranlux48_base,1250991,0.996687
normal_distribution<double>,ranlux48_base,1255149,0.999561
normal_distribution<double>,ranlux48_base,1255700,1.00017
normal_distribution<double>,ranlux48_base,1255484,1.0026
normal_distribution<double>,ranlux48_base,1252229,1.00227
normal_distribution<double>,ranlux48_base,1249396,0.996134
normal_distribution<double>,ranlux48_base,1254244,0.998578
normal_distribution<double>,ranlux48_base,1256030,1.00291
normal_distribution<double>,ranlux48_base,1252380,0.997681
normal_distribution<double>,ranlux48_base,1255290,1.00214
normal_distribution<double>,ranlux48_base,1252609,1.00502
normal_distribution<double>,ranlux48_base,1246346,0.993721
normal_distribution<double>,ranlux48_base,1254221,1.00011
normal_distribution<double>,ranlux48_base,1254088,1.00188
normal_distribution<double>,ranlux24,158029,0.342532
normal_distribution<double>,ranlux24,461355,0.782326
normal_distribution<double>,ranlux24,589722,0.99824
normal_distribution<double>,ranlux24,590761,1.00012
normal_distribution<double>,ranlux24,590691,0.999869
normal_distribution<double>,ranlux24,590768,0.99847
normal_distribution<double>,ranlux24,591673,1.00565
normal_distribution<double>,ranlux24,588351,0.99597
normal_distribution<double>,ranlux24,590731,1.002
normal_distribution<double>,ranlux24,589553,0.99753
normal_distribution<double>,ranlux24,591012,1.00372
normal_distribution<double>,ranlux24,588822,1.00111
normal_distribution<double>,ranlux24,588169,0.996807
normal_distribution<double>,ranlux24,590052,0.999939
normal_distribution<double>,ranlux24,590087,0.999664
normal_distribution<double>,ranlux24,590285,0.999319
normal_distribution<double>,ranlux24,590687,1.00004
normal_distribution<double>,ranlux24,590666,1.0008
normal_distribution<double>,ranlux24,590193,1.00461
normal_distribution<double>,ranlux24,587486,0.996861
normal_distribution<double>,ranlux48,32736,0.264772
normal_distribution<double>,ranlux48,123638,0.704596
normal_distribution<double>,ranlux48,175473,1.30485
normal_distribution<double>,ranlux48,134477,0.764515
normal_distribution<double>,ranlux48,175898,1.00042
normal_distribution<double>,ranlux48,175823,0.997672
normal_distribution<double>,ranlux48,176233,1.00289
normal_distribution<double>,ranlux48,175725,0.994453
normal_distribution<double>,ranlux48,176705,1.00828
normal_distribution<double>,ranlux48,175254,0.999509
normal_distribution<double>,ranlux48,175340,1.00139
normal_distribution<double>,ranlux48,175096,0.993357
normal_distribution<double>,ranlux48,176266,1.00274
normal_distribution<double>,ranlux48,175784,1.89358
normal_distribution<double>,ranlux48,92831,0.733493
normal_distribution<double>,ranlux48,126560,0.718208
normal_distribution<double>,ranlux48,176216,0.998594
normal_distribution<double>,ranlux48,176464,1.0018
normal_distribution<double>,ranlux48,176147,0.999175
normal_distribution<double>,ranlux48,176292,1.00391
normal_distribution<double>,knuth_b,100372,0.163511
normal_distribution<double>,knuth_b,613856,0.548467
normal_distribution<double>,knuth_b,1119220,0.880119
normal_distribution<double>,knuth_b,1271668,1.00677
normal_distribution<double>,knuth_b,1263120,0.995711
normal_distribution<double>,knuth_b,1268560,1.00313
normal_distribution<double>,knuth_b,1264603,0.999972
normal_distribution<double>,knuth_b,1264637,0.997822
normal_distribution<double>,knuth_b,1267396,0.99831
normal_distribution<double>,knuth_b,1269540,1.00091
normal_distribution<double>,knuth_b,1268386,0.999066
normal_distribution<double>,knuth_b,1269571,0.998448
normal_distribution<double>,knuth_b,1271543,1.00038
normal_distribution<double>,knuth_b,1271061,1.00375
normal_distribution<double>,knuth_b,1266310,0.997863
normal_distribution<double>,knuth_b,1269021,0.998368
normal_distribution<double>,knuth_b,1271094,1.00119
normal_distribution<double>,knuth_b,1269585,1.00467
normal_distribution<double>,knuth_b,1263681,0.997517
normal_distribution<double>,knuth_b,1266827,0.997993
uniform_real_distribution<double>,minstd_rand0,3236266,0.919245
uniform_real_distribution<double>,minstd_rand0,3520568,0.914632
uniform_real_distribution<double>,minstd_rand0,3849162,0.996698
uniform_real_distribution<double>,minstd_rand0,3861915,1.00174
uniform_real_distribution<double>,minstd_rand0,3855208,0.99737
uniform_real_distribution<double>,minstd_rand0,3865375,1.00481
uniform_real_distribution<double>,minstd_rand0,3846861,0.995929
uniform_real_distribution<double>,minstd_rand0,3862587,0.999158
uniform_real_distribution<double>,minstd_rand0,3865843,0.999862
uniform_real_distribution<double>,minstd_rand0,3866378,1.00358
uniform_real_distribution<double>,minstd_rand0,3852602,1.00062
uniform_real_distribution<double>,minstd_rand0,3850201,0.996054
uniform_real_distribution<double>,minstd_rand0,3865455,1.00152
uniform_real_distribution<double>,minstd_rand0,3859586,1.00288
uniform_real_distribution<double>,minstd_rand0,3848496,1.0016
uniform_real_distribution<double>,minstd_rand0,3842345,0.993413
uniform_real_distribution<double>,minstd_rand0,3867823,1.00475
uniform_real_distribution<double>,minstd_rand0,3849535,0.998398
uniform_real_distribution<double>,minstd_rand0,3855713,1.00089
uniform_real_distribution<double>,minstd_rand0,3852289,1.00162
uniform_real_distribution<double>,minstd_rand,4132265,1.09408
uniform_real_distribution<double>,minstd_rand,3776935,0.929327
uniform_real_distribution<double>,minstd_rand,4064160,0.996982
uniform_real_distribution<double>,minstd_rand,4076463,1.0004
uniform_real_distribution<double>,minstd_rand,4074850,1.0039
uniform_real_distribution<double>,minstd_rand,4059005,0.999888
uniform_real_distribution<double>,minstd_rand,4059460,0.996979
uniform_real_distribution<double>,minstd_rand,4071761,0.999728
uniform_real_distribution<double>,minstd_rand,4072869,0.999561
uniform_real_distribution<double>,minstd_rand,4074658,1.00219
uniform_real_distribution<double>,minstd_rand,4065742,1.00563
uniform_real_distribution<double>,minstd_rand,4042965,0.992753
uniform_real_distribution<double>,minstd_rand,4072479,1.00148
